date,ticker,var_990,es,evt,testing_data,exceeds_var_990,exceeds_es,exceed_evt
2021-12-31,HSBA.L,-0.022708008641563526,-0.053947814500367224,0.45459375100901095,0.000111315655490829,True,True,False
2021-12-30,HSBA.L,-0.022708008641563526,-0.053947814500367224,0.45459375100901095,-0.001780139136176917,True,True,False
2021-12-29,HSBA.L,-0.022708008641563526,-0.053947814500367224,0.45459375100901095,0.003797212236447134,True,True,False
2021-12-24,HSBA.L,-0.022708008641563526,-0.05485086458768713,0.45459375100901095,-0.00044646226508160414,True,True,False
2021-12-23,HSBA.L,-0.022708008641563526,-0.055095851137269176,0.45459375100901095,0.0074224901595614234,True,True,False
2021-12-22,HSBA.L,-0.022708008641563526,-0.055095851137269176,0.45459375100901095,-0.0013477631920019162,True,True,False
2021-12-21,HSBA.L,-0.022708008641563526,-0.055095851137269176,0.45459375100901095,0.007695845086264086,True,True,False
2021-12-20,HSBA.L,-0.022708008641563526,-0.055095851137269176,0.45459375100901095,-0.008193975063026215,True,True,False
2021-12-17,HSBA.L,-0.022708008641563526,-0.055095851137269176,0.45459375100901095,-0.006246514474619325,True,True,False
2021-12-16,HSBA.L,-0.022708008641563526,-0.05712024304212123,0.45459375100901095,0.03689557116061537,True,True,False
2021-12-15,HSBA.L,-0.022708008641563526,-0.0597882045595286,0.45459375100901095,-0.005520925782716457,True,True,False
2021-12-14,HSBA.L,-0.022708008641563526,-0.06090525661277811,0.45418631629230455,0.0078831131160777,True,True,False
2021-12-13,HSBA.L,-0.022708008641563526,-0.06100787984791193,0.45418631629230455,-0.016755924730052718,True,True,False
2021-12-10,HSBA.L,-0.022708008641563526,-0.06100787984791193,0.45418631629230455,-0.004086978748427672,True,True,False
2021-12-09,HSBA.L,-0.022708008641563526,-0.06100787984791193,0.45459375100901095,0.00034101084564786,True,True,False
2021-12-08,HSBA.L,-0.022708008641563526,-0.06100787984791193,0.45459375100901095,-0.007215538075331929,True,True,False
